source,target,value
PRK,USA,40
PRK,USA,46
PRK,USA,51
PRY,USA,172
PTY,USA,36
RUS,USA,42
RUS,USA,36
RUS,USA,42
SAU,USA,43
TJK,USA,43
TUR,USA,20
TUR,USA,32
TUR,USA,51
TUR,USA,173
UKR,USA,42
USA,USA,57
USA,USA,40
USA,USA,46
USA,USA,121
USA,USA,10
USA,USA,13
USA,USA,20
USA,USA,30
USA,USA,36
USA,USA,40
USA,USA,42
USA,USA,51
USA,USA,84
USA,USA,114
USA,USA,120
USA,USA,186
USA,USA,13
USA,USA,40
VNM,USA,40
ZMB,USA,172
ZMB,USA,172
ZWE,USA,40
PRK,CHN,36
PRK,CHN,42
REF,CHN,10
REF,CHN,12
RUS,CHN,20
RUS,CHN,36
TWN,CHN,10
TWN,CHN,110
TWN,CHN,130
TWN,CHN,164
USA,CHN,36
USA,CHN,42
USA,CHN,42
VNM,CHN,42
RUS,RUS,10
RUS,RUS,17
RUS,RUS,30
RUS,RUS,36
RUS,RUS,42
RUS,RUS,43
RUS,RUS,46
RUS,RUS,57
RUS,RUS,60
RUS,RUS,100
RUS,RUS,10
RUS,RUS,46
RUS,RUS,60
RUS,RUS,10
SWE,RUS,43
TKM,RUS,20
TUR,RUS,36
UKR,RUS,40
UKR,RUS,36
UKR,RUS,71
USA,RUS,42
USA,RUS,57
USA,RUS,20
USA,RUS,20
USA,RUS,10
USA,RUS,16
USA,RUS,20
USA,RUS,36
USA,RUS,43
USA,RUS,51
USA,RUS,100
VNM,RUS,42
VNM,RUS,43
VNM,RUS,162
