source,target,value
PRK,USA,5
PRK,USA,9
PRK,USA,2
RUS,USA,4
RUS,USA,1
TUR,USA,4
TUR,USA,4
TUR,USA,1
TUR,USA,1
USA,USA,1
USA,USA,1
USA,USA,4
USA,USA,1
USA,USA,1
USA,USA,2
USA,USA,2
USA,USA,1
USA,USA,1
USA,USA,2
USA,USA,3
USA,USA,1
USA,USA,1
USA,USA,1
VNM,USA,1
ZMB,USA,1
ZMB,USA,1
PRK,CHN,1
PRK,CHN,2
RUS,CHN,1
RUS,CHN,2
TWN,CHN,1
TWN,CHN,2
TWN,CHN,1
TWN,CHN,2
USA,CHN,2
USA,CHN,2
USA,CHN,1
VNM,CHN,1
RUS,RUS,6
RUS,RUS,1
RUS,RUS,3
RUS,RUS,6
RUS,RUS,3
RUS,RUS,2
RUS,RUS,1
RUS,RUS,3
RUS,RUS,1
RUS,RUS,1
RUS,RUS,1
RUS,RUS,1
RUS,RUS,1
RUS,RUS,1
SWE,RUS,2
TKM,RUS,1
TUR,RUS,2
UKR,RUS,1
UKR,RUS,1
UKR,RUS,4
USA,RUS,2
USA,RUS,2
USA,RUS,1
USA,RUS,1
USA,RUS,3
USA,RUS,1
USA,RUS,1
USA,RUS,4
USA,RUS,1
USA,RUS,4
USA,RUS,1
VNM,RUS,2
VNM,RUS,3
VNM,RUS,1
